test_num,select_type,select_args,found,initial_pop,in_min_len,in_max_len,lambda,max_mut_len,tests,mse,exec_time,gen,limit
16,elitism,4000,1,4000,2,5,9600,5,100,5.780409097886074e-30,139.96516021200023,230,5
17,elitism,4000,1,4000,2,5,9600,5,100,7.893046394801986e-30,145.81569784899966,230,5
18,elitism,4000,0,4000,2,5,9600,5,100,2.554260066791517,214.64632339200034,230,5
19,elitism,4000,1,4000,2,5,9600,5,100,7.326576472119258e-30,162.56574311999975,230,5
20,elitism,4000,1,4000,2,5,9600,5,100,5.4076723201691464e-30,153.85110926000016,230,5
21,elitism,4000,0,4000,2,5,9600,5,100,15.975222882222797,187.52055293800004,230,5
22,elitism,4000,1,4000,2,5,9600,5,100,7.192716637264567e-30,141.25862990199857,230,5
23,elitism,4000,1,4000,2,5,9600,5,100,5.898984752702107e-30,136.0472832839987,230,5
24,elitism,4000,0,4000,2,5,9600,5,100,4.79645393983334,251.00060627700077,230,5
25,elitism,4000,0,4000,2,5,9600,5,100,8.47857362712093,200.82058731100005,230,5
26,elitism,4000,1,4000,2,5,9600,5,100,6.486901831245532e-30,151.58519107900065,230,5
27,elitism,4000,1,4000,2,5,9600,5,100,4.808138032201177e-30,145.7858186909998,230,5
28,elitism,4000,1,4000,2,5,9600,5,100,1.1522823449829277e-29,169.33602592199895,230,5
29,elitism,4000,1,4000,2,5,9600,5,100,6.695734266975329e-30,188.4219468880001,230,5
30,elitism,4000,1,4000,2,5,9600,5,100,6.025202497537469e-30,136.50386916699972,230,5
31,elitism,4000,1,4000,2,5,9600,5,100,6.033091106589679e-30,158.590098613,230,5
32,elitism,4000,1,4000,2,5,9600,5,100,5.898984752702107e-30,143.5160800980011,230,5
33,elitism,4000,0,4000,2,5,9600,5,100,3.4866858133187604,206.07541117300025,230,5
34,elitism,4000,1,4000,2,5,9600,5,100,6.025202497537469e-30,143.13480238400007,230,5
35,elitism,4000,1,4000,2,5,9600,5,100,1.1939440615399124e-29,181.14291424899966,230,5
36,elitism,4000,1,4000,2,5,9600,5,100,4.587256978739294e-30,138.85661723200064,230,5
37,elitism,4000,1,4000,2,5,9600,5,100,5.930539188910948e-30,130.5228596979996,230,5
38,elitism,4000,0,4000,2,5,9600,5,100,16.509327478655884,255.74007011399954,230,5
39,elitism,4000,1,4000,2,5,9600,5,100,7.198633094053725e-30,127.64262080100161,230,5
40,elitism,4000,1,4000,2,5,9600,5,100,5.898984752702107e-30,136.49213758000042,230,5
1,elitism,4000,0,4000,2,5,10000,5,100,22.50961401060978,313.78659791500104,150,10
2,elitism,4000,0,4000,2,5,10000,5,100,19.89531544651543,370.0457915779989,150,20
3,elitism,4000,0,4000,2,5,10000,5,100,19.54054167065033,352.7479940899939,150,30
4,elitism,4000,0,4000,2,5,10000,5,100,24.116697295842062,242.6699816629989,150,40
5,elitism,4000,0,4000,2,5,10000,5,100,16.658653623081662,377.71199809500104,150,50
6,elitism,4000,0,4000,2,5,10000,5,100,17.56962485509314,254.91630920900207,150,60
7,elitism,4000,0,4000,2,5,10000,5,100,14.617762252034536,482.4504149900022,150,70
8,elitism,4000,0,4000,2,5,10000,5,100,25.092262052680564,365.9480994659971,150,80
9,elitism,4000,0,4000,2,5,10000,5,100,20.53264580439484,317.8639718550039,150,90
10,elitism,4000,0,4000,2,5,10000,5,100,26.37769765874256,240.45561509100662,150,100
